-4.73906,-1.90937,-11.0887,-11.0856,10.2043,-8.64389
-5.56037,-1.21362,-12.3513,-12.3494,11.4768,-10.0724
-4.90615,-1.18923,-12.8544,-12.8532,12.0719,-10.5375
-5.72171,-2.35015,-13.1727,-13.173,12.8489,-10.9086
-5.60429,-5.91104,-12.6936,-12.6947,13.6031,-10.4427
-5.70769,-10.8185,-12.3619,-12.3639,13.6675,-10.1143
-5.45216,-9.18364,-11.3437,-11.3453,12.1558,-8.86594
-4.9321,-7.99383,-10.2734,-10.2769,10.6057,-7.64529
-5.95981,-6.21329,-8.04944,-8.05418,7.72602,-5.35022
-4.27673,-3.15723,-6.07285,-6.07905,5.05921,-2.77311
-2.32692,-2.39423,-3.48498,-3.49067,2.12716,0.412842
-0.94281,-2.87092,-1.32502,-1.33131,-0.15701,2.81358
-2.5367,-1.40946,0.317994,0.311465,-2.05967,4.55301
-0.973554,-0.171901,2.61723,2.61111,-4.81345,7.42921
-0.210351,0.555927,4.29262,4.28621,-6.72413,9.50424
-1.45847,1.85382,6.40295,6.3971,-9.03243,12.0245
0.402318,1.99007,8.75762,8.75297,-11.4487,15.5941
8.21269,0.521441,10.3142,10.3106,-13.2162,18.153
10.1121,2.33448,11.2714,11.2684,-14.5364,19.2344
3.62331,4.23142,12.0118,12.0094,-15.7646,18.8386
2.93368,4.726,12.4874,12.4856,-16.4613,18.9146
4.51761,4.88908,12.6849,12.6834,-16.8521,19.1398
2.68467,6.16028,12.4497,12.4495,-16.8588,18.6614
0.924658,7.10274,11.9719,11.9729,-16.3328,18.3088
1.83953,6.90878,10.9839,10.9852,-15.0495,18.0553
7.44073,4.82638,9.67312,9.67498,-13.2085,17.6797
9.78763,3.27592,8.0599,8.06256,-11.2061,16.1351
4.81157,3.58017,6.20612,6.21019,-9.23113,13.2396
2.98689,2.98361,3.98826,3.9935,-6.81486,10.3799
2.14263,3.80227,1.61459,1.61977,-4.39351,7.82059
2.84945,2.53724,-0.766753,-0.762178,-1.6362,5.19304
4.062,0.332273,-2.54847,-2.54308,0.548147,3.10205
1.70317,-0.769841,-5.38569,-5.38135,3.82972,-0.956756
-4.28393,-0.472699,-7.91423,-7.91078,6.61429,-5.0161
-5.48438,-1.3125,-10.003,-10.0002,8.83944,-7.6499
-5.21118,-0.774845,-11.8399,-11.8383,10.7448,-9.58137
-6.46615,-0.387692,-12.6493,-12.648,11.6751,-10.5993
-6.31595,-1.38037,-13.0978,-13.0972,12.402,-10.9308
-6.3858,-4.41821,-13.0144,-13.0143,13.2055,-10.802
-5.79102,-8.72446,-12.6415,-12.6426,13.5086,-10.447
-5.59538,-13.4062,-11.4628,-11.4641,13.2034,-9.18603
-5.61838,-11.595,-10.0927,-10.0948,11.0596,-7.69431
-5.69767,-8.26822,-8.86524,-8.86702,8.91974,-6.22799
-6.89812,-3.80408,-6.4407,-6.44301,5.52129,-3.57234
-2.45208,-2.42013,-4.28133,-4.28389,3.0258,-0.389175
-0.298046,-2.90554,-1.4742,-1.47717,0.141521,2.92311
-0.965517,-3.34483,0.811589,0.808231,-2.37428,5.12235
-1.31333,0.706667,3.08991,3.08644,-5.52704,7.64314
-0.787879,1.64478,5.80065,5.79809,-8.54642,10.7999
-0.221843,1.04096,7.74754,7.74473,-10.5217,13.3079
0.347315,2.95973,9.4771,9.47363,-12.6635,15.9175
4.35544,3.69048,11.1982,11.1956,-14.6524,18.8542
9.52218,3.21502,12.1962,12.1943,-15.7952,20.3266
6.61395,4.26531,12.9468,12.946,-16.9879,20.0653
1.91141,5.9506,13.1441,13.1444,-17.6082,19.7058
3.20696,7.04,12.9188,12.9197,-17.422,19.9635
8.37436,6.07692,12.0728,12.0755,-16.2777,20.0375
7.843,5.03242,10.6696,10.6723,-14.5524,18.0108
1.98157,5.72697,9.22719,9.23066,-12.9417,15.8337
3.6932,4.18076,7.20101,7.20527,-10.4499,14.0336
4.40625,3.37171,3.95928,3.96264,-6.78544,11.0808
4.5696,2.3776,1.94388,1.94828,-4.4177,8.70432
3.28571,1.33175,0.36503,0.369312,-2.54025,6.58123
1.68075,1.88889,-1.78911,-1.78591,-0.269917,3.89245
0.317263,1.50544,-2.92832,-2.92547,0.79623,2.60342
2.67987,-0.348653,-5.63477,-5.63202,4.08694,-0.5547
1.3577,-1.0311,-8.08346,-8.08097,6.87225,-4.07196
-5.27093,-1.00913,-9.74925,-9.74696,8.64911,-7.00616
-5.25352,-1.26448,-10.4713,-10.4687,9.38608,-8.00114
-4.58869,-0.80581,-11.892,-11.8949,10.8757,-9.32855
-4.83717,-0.995392,-12.5879,-12.5905,11.7774,-10.1594
-6.27957,-3.6129,-12.8358,-12.8381,12.7741,-10.7153
-7.59724,-7.05054,-12.3596,-12.3626,13.3647,-10.4289
-6.20092,-12.1626,-11.5496,-11.5533,13.2722,-9.25357
-5.34977,-12.98,-10.1015,-10.1048,11.4158,-7.54472
-6.04859,-7.85423,-8.19888,-8.20402,8.33629,-5.72517
-5.96703,-4.40031,-5.79441,-5.79872,4.84493,-2.82064
-6.38389,-2.59084,-3.68335,-3.68844,2.39852,-0.279653
0.268293,-2.40976,0.158018,0.153768,-1.64705,5.17395
0.679339,-2.22149,2.32269,2.31786,-4.00005,7.50565
-1.43021,0.417077,5.45662,5.45189,-8.13483,10.5981
-0.109983,1.50085,6.91997,6.91541,-9.9273,12.5156
2.18601,3.29693,8.7115,8.70727,-12.0318,15.0116
2.62649,3.48557,9.88993,9.88619,-13.2241,16.4773
2.46271,2.70847,11.5063,11.5035,-14.7005,18.413
6.88144,2.43643,12.6079,12.6062,-16.046,20.1321
7.66205,3.81976,13.2199,13.2188,-17.3829,20.4736
3.79897,7.30584,13.2192,13.219,-17.8148,20.1678
2.51871,6.97619,12.7518,12.7533,-17.1404,19.6772
4.72743,6.06644,11.7083,11.7105,-15.6719,19.3893
10.3532,4.56997,10.5104,10.5137,-14.2305,18.6185
3.3245,4.60762,8.6309,8.63497,-12.0897,15.1087
0.895973,4.82718,5.96258,5.96765,-9.23235,12.2489
3.66557,3.3229,4.04008,4.04564,-6.72544,10.7282
5.54281,0.710824,2.04256,2.04891,-4.2633,8.7336
3.1952,1.1728,-1.02409,-1.01831,-1.15927,4.70879
1.2717,0.549839,-3.07661,-3.07153,1.14694,1.73931
-0.551887,-0.209119,-4.61899,-4.61428,2.91683,-0.375239
-2.60972,-0.568966,-6.60788,-6.60318,5.11481,-2.83438
-2.27786,-0.623234,-8.00241,-7.998,6.68453,-4.29134
-3.03533,-0.545315,-9.66083,-9.65687,8.49429,-5.97879
-2.67073,-0.265244,-10.7254,-10.7222,9.59317,-7.0539
-2.99699,0.173193,-12.0295,-12.0274,11.0279,-8.52079
-3.24508,-0.66112,-12.6437,-12.6427,11.8963,-9.43368
-3.87062,-3.04414,-12.8671,-12.8674,12.8562,-10.3149
-8.16539,-9.2879,-12.3109,-12.3131,13.5193,-10.6659
-8.73148,-13.3673,-11.2121,-11.2157,12.9663,-9.52479
-7.29734,-14.8419,-9.62058,-9.6249,10.5116,-7.25794
-5.32182,-3.57457,-7.97435,-7.9789,6.77016,-4.92005
-3.56495,-1.09077,-5.04356,-5.04772,3.71284,-1.38421
